Study_ID,Cohort_ID,Shared_control_ID,Data_source,Data_location,Bird_species_Latin_binomial_name,Bird_species_English_common_name,Prey_species_Latin_binomial_name,Prey_English_common_name,Detail_response,Response,Measure,Observed_responses_category,Note__behavioural_responses,Treatment_stimulus,Number_pattern,Diameter_pattern,Area_pattern,Shape_pattern,Control_stimulus,Note_stimulus,Type_of_prey,Note__prey,Diet_of_bird,Bird_sex,Bird_age,Tn,Cn,T_mean,C_mean,T_proportion,C_proportion,T_sd,C_sd,T_mean_rev,C_mean_rev,Study_design,Mean_median,T_mean_median,C_mean_median,Type_of_variance_statistic,Treatment_variance,Control_variance,Type_of_effect_size,effect_size,Note
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,time of eye closure ,continuous,latency,general,,eyespot,2,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,46.5,0.8,NA,NA,51.12338017,0.774596669,-46.5,-0.8,independent,mean,46.5,0.8,SEM,13.2,0.2,,,Mann-Whitney U test; p < 0.002
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,number of peeps ,continuous,latency,defensive,,eyespot,1,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,556.1,703.1,NA,NA,210.3029957,144.8495771,-556.1,-703.1,independent,mean,556.1,703.1,SEM,54.3,37.4,,,Mann-Whitney U test; n.s.
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,number of peeps ,continuous,latency,defensive,,eyespot,2,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,378.9,703.1,NA,NA,130.9068371,144.8495771,-378.9,-703.1,independent,mean,378.9,703.1,SEM,33.8,37.4,,,Mann-Whitney U test; p < 0.002
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,number of steps ,continuous,latency,general,,eyespot,1,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,149.3,213.8,NA,NA,60.03124187,53.05987184,-149.3,-213.8,independent,mean,149.3,213.8,SEM,15.5,13.7,,,Mann-Whitney U test; p < 0.02
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,number of steps ,continuous,latency,general,,eyespot,2,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,89.5,213.8,NA,NA,37.95523679,53.05987184,-89.5,-213.8,independent,mean,89.5,213.8,SEM,9.8,13.7,,,Mann-Whitney U test; p < 0.002
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,number of jumps ,continuous,latency,general,,eyespot,1,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,9.3,13.6,NA,NA,13.16814338,17.81572339,-9.3,-13.6,independent,mean,9.3,13.6,SEM,3.4,4.6,,,Mann-Whitney U test; p < 0.02
Jones_1980,Jones_1980_1,Jones_1980_a,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,number of jumps ,continuous,latency,general,,eyespot,2,25.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,male,chick,15,15,2.7,13.6,NA,NA,6.584071689,17.81572339,-2.7,-13.6,independent,mean,2.7,13.6,SEM,1.7,4.6,,,Mann-Whitney U test; p < 0.02
Inglis_1983,Inglis_1983_1,Inglis_1983_a,text,p.189,Sturnus_vulgaris,common starling,none,none,duration of staying in the presence of stimulus ,continuous,latency,general,,eyespot,2,20.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,NA,adult,8,8,249,2115,NA,NA,373.3523805,1052.17489,-249,-2115,dependent,mean,249,2115,SE,132,372,t,5.9,t7 = 5.9; p < 0.001
Inglis_1983,Inglis_1983_1,Inglis_1983_a,text,p.189,Sturnus_vulgaris,common starling,none,none,duration of feeding in the presence of stimulus ,continuous,latency,general,,eyespot,2,20.00,,eyespot,no pattern,,artificial,prey that does not imitate a specific species,omnivore,NA,adult,8,8,134,385,NA,NA,189.5046174,175.3624817,-134,-385,dependent,mean,134,385,SE,67,62,t,2.6,t7 = 2.6; p < 0.05
Wourms_1985,Wourms_1985_1,Wourms_1985_a,table. 1,p.848,Cyanocitta_cristata,blue jay,Pieris_rapae,European cabbage butterfly,number of attacks ,continuous,number,aggresive,,conspicuous,NA,NA,,stripe,no pattern,,real,butterfly painted on stripes (this batturfly species do not have eyespots),omnivore,NA,NA,5,5,8.8,15,NA,NA,8.8,2.91548,8.8,15,dependent,mean,8.8,15,SD,2.68328,2.91548,,,Calculated by AM
Wourms_1985,Wourms_1985_1,Wourms_1985_a,table. 1,p.848,Cyanocitta_cristata,blue jay,Pieris_rapae,European cabbage butterfly,number of attacks ,continuous,number,aggresive,,conspicuous,NA,NA,,circle,no pattern,,real,butterfly painted on circle (this batturfly species do not have eyespots),omnivore,NA,NA,5,5,5.4,15,NA,NA,5.4,2.91548,5.4,15,dependent,mean,5.4,15,SD,2.70185,2.91548,,,Calculated by AM
Kodandaramaiah_2009,Kodandaramaiah_2009_1,Kodandaramaiah_2009_a,text,p.1417,Parus_major,great tit,Junonia_almana,peacock pansy butterfly,frequency of the subject first attacked the prey ,proportion1,number,aggresive,,eyespot,4,6.28,,eyespot,no pattern,diameter was calculated by AM,real,butterfly,omnivore,NA,NA,35,35,NA,NA,0.428571429,0.714285714,NA,NA,NA,NA,dependent,NA,15,25,NA,NA,NA,,,"binomial test, p = 0.017"
Brilot_2009,Brilot_2009_1,Brilot_2009_a,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,latency to first movement ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,59.98316,44.20034,NA,NA,66.96086257,56.21405572,-59.98316,-44.20034,dependent,mean,59.98316,44.20034,SEM,23.67424,19.87467,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_2,Brilot_2009_a,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,latency to first movement ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,23.15657,24.91021,NA,NA,29.76039908,27.28034932,-23.15657,-24.91021,dependent,mean,23.15657,24.91021,SEM,10.52189,9.64506,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_3,Brilot_2009_a,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,latency to first movement ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,20.81837,54.13767,NA,NA,24.80032785,42.16053472,-20.81837,-54.13767,dependent,mean,20.81837,54.13767,SEM,8.76824,14.906,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_4,Brilot_2009_a,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,latency to first movement ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,281.52731,372.13244,NA,NA,384.4049969,418.2987745,-281.52731,-372.13244,dependent,mean,281.52731,372.13244,SEM,135.90769,147.89095,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_1,Brilot_2009_b,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,latency to first movement ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,41.86214,44.20034,NA,NA,58.69410548,56.21405572,-41.86214,-44.20034,dependent,mean,41.86214,44.20034,SEM,20.7515,19.87467,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_2,Brilot_2009_b,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,latency to first movement ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,51.79948,24.91021,NA,NA,69.44091233,27.28034932,-51.79948,-24.91021,dependent,mean,51.79948,24.91021,SEM,24.55107,9.64506,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_3,Brilot_2009_b,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,latency to first movement ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,59.39862,54.13767,NA,NA,45.46724887,42.16053472,-59.39862,-54.13767,dependent,mean,59.39862,54.13767,SEM,16.0751,14.906,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_4,Brilot_2009_b,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,latency to first movement ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,387.33071,372.13244,NA,NA,433.1789599,418.2987745,-387.33071,-372.13244,dependent,mean,387.33071,372.13244,SEM,153.15189,147.89095,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_1,Brilot_2009_a,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,latency to approach the food bowl ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,814.63415,178.04878,NA,NA,517.3952078,348.3794337,-814.63415,-178.04878,dependent,mean,814.63415,178.04878,SEM,182.92683,123.17073,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_2,Brilot_2009_a,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,latency to approach the food bowl ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,704.87805,46.34146,NA,NA,431.162659,58.63813091,-704.87805,-46.34146,dependent,mean,704.87805,46.34146,SEM,152.43902,20.73171,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_3,Brilot_2009_a,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,latency to approach the food bowl ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,1180.4878,336.58537,NA,NA,27.59441787,486.3514948,-1180.4878,-336.58537,dependent,mean,1180.4878,336.58537,SEM,9.7561,171.95122,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_4,Brilot_2009_a,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,latency to approach the food bowl ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,836.58537,168.29268,NA,NA,403.5682695,303.5385117,-836.58537,-168.29268,dependent,mean,836.58537,168.29268,SEM,142.68293,107.31707,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_1,Brilot_2009_b,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,latency to approach the food bowl ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,200,178.04878,NA,NA,341.4808434,348.3794337,-200,-178.04878,dependent,mean,200,178.04878,SEM,120.73171,123.17073,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_2,Brilot_2009_b,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,latency to approach the food bowl ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,34.14634,46.34146,NA,NA,31.04371303,58.63813091,-34.14634,-46.34146,dependent,mean,34.14634,46.34146,SEM,10.97561,20.73171,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_3,Brilot_2009_b,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,latency to approach the food bowl ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,365.85366,336.58537,NA,NA,393.2203557,486.3514948,-365.85366,-336.58537,dependent,mean,365.85366,336.58537,SEM,139.02439,171.95122,,,the data were log10 transformed prior to analysis; ±1 SEM
Brilot_2009,Brilot_2009_4,Brilot_2009_b,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,latency to approach the food bowl ,continuous,latency,aggresive,,eyespot,2,NA,,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,artificial,prey that does not imitate a specific species,omnivore,both,adult,8,8,226.82927,168.29268,NA,NA,365.6259378,303.5385117,-226.82927,-168.29268,dependent,mean,226.82927,168.29268,SEM,129.26829,107.31707,,,the data were log10 transformed prior to analysis; ±1 SEM
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 2,p.1663,Parus_ caeruleus,blue tit,none,none,mean frequency of attacks ,continuous,number,aggresive,,eyespot,1,3.0,,eyespot,camouflage,mix,artificial,prey that does not imitate a specific species,omnivore,NA,NA,15,15,6.96585,5.08293,NA,NA,3.36287271,3.400673027,6.96585,5.08293,dependent,mean,6.96585,5.08293,SE,0.86829,0.87805,,,
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 3,p.1663,Parus_ caeruleus,blue tit,none,none,latency to attack ,continuous,latency,aggresive,,eyespot,1,3.0,,eyespot,camouflage,right position + exposing,artificial,prey that does not imitate a specific species,omnivore,NA,NA,7.5,7.5,2.6158,2.28883,NA,NA,0.716366333,0.716366333,-2.6158,-2.28883,dependent,mean,2.6158,2.28883,SE,0.26158,0.26158,,,"back-transformed SE; authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 3,p.1663,Parus_ caeruleus,blue tit,none,none,latency to attack ,continuous,latency,aggresive,,eyespot,1,3.0,,eyespot,camouflage,left position + exposing,artificial,prey that does not imitate a specific species,omnivore,NA,NA,7.5,7.5,1.96185,2.28883,NA,NA,0.179105276,0.716366333,-1.96185,-2.28883,dependent,mean,1.96185,2.28883,SE,0.0654,0.26158,,,"back-transformed SE; authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 3,p.1663,Parus_ caeruleus,blue tit,none,none,latency to attack ,continuous,latency,aggresive,,eyespot,1,3.0,,eyespot,camouflage,right position + concealing,artificial,prey that does not imitate a specific species,omnivore,NA,NA,7.5,7.5,8.55041,8.22343,NA,NA,3.581831665,2.507282165,-8.55041,-8.22343,dependent,mean,8.55041,8.22343,SE,1.3079,0.91553,,,"back-transformed SE; authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 3,p.1663,Parus_ caeruleus,blue tit,none,none,latency to attack ,continuous,latency,aggresive,,eyespot,1,3.0,,eyespot,camouflage,left position + concealing,artificial,prey that does not imitate a specific species,omnivore,NA,NA,7.5,7.5,8.81199,8.22343,NA,NA,3.447530094,2.507282165,-8.81199,-8.22343,dependent,mean,8.81199,8.22343,SE,1.25886,0.91553,,,"back-transformed SE; authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 2,p.1663,Parus_ caeruleus,blue tit,none,none,mean frequency of attacks ,continuous,number,aggresive,,eyespot,1,6.0,,eyespot,camouflage,mix,artificial,prey that does not imitate a specific species,omnivore,NA,NA,15,15,6.45854,5.54146,NA,NA,4.231931443,4.156369538,6.45854,5.54146,dependent,mean,6.45854,5.54146,SE,1.09268,1.07317,,,
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 3,p.1663,Parus_ caeruleus,blue tit,none,none,latency to attack ,continuous,latency,aggresive,,eyespot,1,6.0,,eyespot,camouflage,right position + exposing,artificial,prey that does not imitate a specific species,omnivore,NA,NA,7.5,7.5,2.48501,2.14169,NA,NA,0.537288443,0.492512124,-2.48501,-2.14169,dependent,mean,2.48501,2.14169,SE,0.19619,0.17984,,,"back-transformed SE; authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 3,p.1663,Parus_ caeruleus,blue tit,none,none,latency to attack ,continuous,latency,aggresive,,eyespot,1,6.0,,eyespot,camouflage,left position + exposing,artificial,prey that does not imitate a specific species,omnivore,NA,NA,7.5,7.5,2.35422,2.14169,NA,NA,0.716366333,0.492512124,-2.35422,-2.14169,dependent,mean,2.35422,2.14169,SE,0.26158,0.17984,,,"back-transformed SE; authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 3,p.1663,Parus_ caeruleus,blue tit,none,none,latency to attack ,continuous,latency,aggresive,,eyespot,1,6.0,,eyespot,camouflage,right position + concealing,artificial,prey that does not imitate a specific species,omnivore,NA,NA,7.5,7.5,9.10627,7.58583,NA,NA,3.492279027,2.596834804,-9.10627,-7.58583,dependent,mean,9.10627,7.58583,SE,1.2752,0.94823,,,"back-transformed SE; authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
Vallin_2011,Vallin_2011_1,Vallin_2011_a,fig. 3,p.1663,Parus_ caeruleus,blue tit,none,none,latency to attack ,continuous,latency,aggresive,,eyespot,1,6.0,,eyespot,camouflage,left position + concealing,artificial,prey that does not imitate a specific species,omnivore,NA,NA,7.5,7.5,7.55313,7.58583,NA,NA,2.641611123,2.596834804,-7.55313,-7.58583,dependent,mean,7.55313,7.58583,SE,0.96458,0.94823,,,"back-transformed SE; authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
Olofsson&Lovlie_2013,Olofsson&Lovlie_2013_1,Olofsson&Lovlie_2013_a,text,p.308,Gallus_gallus,domestic fowl,Inachis_io,peacock butterfly,latency to resumed foraging ,continuous,latency,defensive,,eyespot,2,9.91,,eyespot,no pattern,,real,butterfly,omnivore,both,adult,23,17,153.5,64.33333,NA,NA,133.1441,54.16145,-153.5,-64.33333,independent,median,137,58,IQR,"1st Q = 77.5, 3rd Q = 246","1st Q = 29, 3rd Q = 96",t,3.42,"t-test: N = 40, t =  3.42, degrees of freedom = 27.8, p = 0.0019"
Olofsson&Lovlie_2013,Olofsson&Lovlie_2013_1,Olofsson&Lovlie_2013_a,text,p.308,Gallus_gallus,domestic fowl,Inachis_io,peacock butterfly,number of birds that escaped,proportion1,number,defensive,,eyespot,2,9.91,,eyespot,no pattern,,real,butterfly,omnivore,both,adult,23,17,NA,NA,0.826086957,0.647058824,NA,NA,NA,NA,independent,NA,19,11,NA,NA,NA,,,"FisherÕs Exact test: N = 40, p = 0.27"
Olofsson&Lovlie_2013,Olofsson&Lovlie_2013_1,Olofsson&Lovlie_2013_a,text,p.308,Gallus_gallus,domestic fowl,Inachis_io,peacock butterfly,number of birds that made alarm calls,proportion1,number,defensive,,eyespot,2,9.91,,eyespot,no pattern,,real,butterfly,omnivore,both,adult,23,17,NA,NA,0.565217391,0.058823529,NA,NA,NA,NA,independent,NA,13,1,NA,NA,NA,,,"FisherÕs Exact test, N = 40; p = 0.00094"
Skelhorn_2014,Skelhorn_2014_1,Skelhorn_2014_a,fig. 1,p.1419,Gallus_gallus,domestic fowl,none,none,time between first inspections and attack ,continuous,time,defensive,,eyespot,2,4.50,,eyespot,no pattern,"anterior eyespot. eyespots was produced by painting 2 yellow circles (Å0.45cm diameter) dorsolaterally on the prey 0.4cm apart. A  black circle (Å0.3cm diameter) was thenante painted inside each of  these; and finally, a small white spot of  pain (Å0.1cm diameter) was added to the centre of  the black circles",artificial,pastry caterpillars based loosely on the appearance of  the late instars of  Papilio canadensis and Papilio glaucus caterpillar,omnivore,NA,chick,9,9,167.79661,40.21572,NA,NA,74.88444,16.641,167.79661,40.21572,independent,mean,167.79661,40.21572,SEM,24.96148,5.547,,,± 1 SEM
Skelhorn_2014,Skelhorn_2014_2,Skelhorn_2014_a,fig. 1,p.1419,Gallus_gallus,domestic fowl,none,none,time between first inspections and attack ,continuous,time,defensive,,eyespot,2,4.50,,eyespot,no pattern,"centrally-placed eyespot. eyespots was produced by painting 2 yellow circles (Å0.45cm diameter) dorsolaterally on the prey 0.4cm apart. A  black circle (Å0.3cm diameter) was then painted inside each of  these; and finally, a small white spot of  pain (Å0.1cm diameter) was added to the centre of  the black circles",artificial,pastry caterpillars based loosely on the appearance of  the late instars of  Papilio canadensis and Papilio glaucus caterpillar,omnivore,NA,chick,9,9,34.66872,40.21572,NA,NA,17.68104,16.641,34.66872,40.21572,independent,mean,34.66872,40.21572,SEM,5.89368,5.547,,,± 1 SEM
Skelhorn_2014,Skelhorn_2014_1,Skelhorn_2014_a,fig. 1,p.1419,Gallus_gallus,domestic fowl,none,none,latency to attack,continuous,latency,aggresive,,eyespot,2,4.50,,eyespot,no pattern,"anterior eyespot. eyespots was produced by painting 2 yellow circles (Å0.45cm diameter) dorsolaterally on the prey 0.4cm apart. A  black circle (Å0.3cm diameter) was thenante painted inside each of  these; and finally, a small white spot of  pain (Å0.1cm diameter) was added to the centre of  the black circles",artificial,pastry caterpillars based loosely on the appearance of  the late instars of  Papilio canadensis and Papilio glaucus caterpillar,omnivore,NA,chick,9,9,278.73652,192.06471,NA,NA,86.32512,60.32358,-278.73652,-192.06471,independent,mean,278.73652,192.06471,SEM,28.77504,20.10786,,,± 1 SEM
