Study_ID,Cohort_ID,Shared_control_ID,Data_source,Data_location,Bird_species_Latin_binomial_name,Bird_species_English_common_name,Prey_species_Latin_binomial_name,Prey_English_common_name,Response,Observed_probability_behaviour,Treatment_stimulus,Number_eyespot,Diameter_pattern,Area_pattern,Shape_pattern,Note_probabiliy,Control_stimulus,Note_stimulus,Type_of_prey,Note__prey,Tn,Cn,T_proportion,C_proportion,T_mean,C_mean,T_sd,C_sd,Study_design,Type_of_variance_statistic,Mean_median,Treatment_mean,T_variance,T_variance_q1,T_variance_q3,C_mean,Cl_SE,C_variance_q1,C_variance_q3,Note
Stevens&Stubbins_2008,Stevens&Stubbins_2008_1,Stevens&Stubbins_2008_a,fig. 3,p.1791,none,none,none,none,proportion1,survival,conspicuous,NA,10.00,,circle,,no pattern,white; 10.00mm in diameter,artificial,prey that does not imitate a specific species,100,100,0.425685,0.050505,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_1,Stevens&Hardman_2008_a,fig. 4,p.528,none,none,none,none,proportion1,survival,eyespot,3,9.00,,eyespot,,no pattern,,artificial,prey that does not imitate a specific species,100,100,0.136157,0.025719,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_2,Stevens&Hardman_2008_a,fig. 4,p.528,none,none,none,none,proportion1,survival,eyespot,2,11.00,,eyespot,,no pattern,,artificial,prey that does not imitate a specific species,100,100,0.217852,0.025719,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_3,Stevens&Hardman_2008_a,fig. 4,p.528,none,none,none,none,proportion1,survival,eyespot,2,9.00,,eyespot,,no pattern,,artificial,prey that does not imitate a specific species,100,100,0.098336,0.025719,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_4,Stevens&Hardman_2008_a,fig. 4,p.528,none,none,none,none,proportion1,survival,eyespot,1,15.00,,eyespot,,no pattern,,artificial,prey that does not imitate a specific species,100,100,0.205749,0.025719,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_5,Stevens&Hardman_2008_a,fig. 4,p.528,none,none,none,none,proportion1,survival,eyespot,1,9.00,,eyespot,,no pattern,,artificial,prey that does not imitate a specific species,100,100,0.083207,0.025719,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_6,Stevens&Hardman_2008_b,fig. 5,p.529,none,none,none,none,proportion1,survival,eyespot,2,9.00,,eyespot,,no pattern,,artificial,prey that does not imitate a specific species,100,100,0.22819,0.058627,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_7,Stevens&Hardman_2008_b,fig. 5,p.529,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,square,,no pattern,a pair of squares with the same perimeter as eyespot,artificial,prey that does not imitate a specific species,100,100,0.156728,0.058627,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_8,Stevens&Hardman_2008_b,fig. 5,p.529,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,square,,no pattern,a pair of squares with the same width as eyespots,artificial,prey that does not imitate a specific species,100,100,0.362657,0.058627,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_9,Stevens&Hardman_2008_b,fig. 5,p.529,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,square,,no pattern,a pair of squares with the same area as eyespots,artificial,prey that does not imitate a specific species,100,100,0.22819,0.058627,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_10,Stevens&Hardman_2008_b,fig. 5,p.529,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,bar,,no pattern,a pair of bars with the same perimeter as eyespots,artificial,prey that does not imitate a specific species,100,100,0.199859,0.058627,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_11,Stevens&Hardman_2008_b,fig. 5,p.529,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,bar,,no pattern,a pair of bars with the same area as eyespots,artificial,prey that does not imitate a specific species,100,100,0.193516,0.058627,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_12,Stevens&Hardman_2008_c,fig. 6,p.529,none,none,none,none,proportion1,survival,eyespot,2,9.00,,eyespot,,no pattern,the central black component in the center ,artificial,prey that does not imitate a specific species,160,160,0.293233,0.120301,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_13,Stevens&Hardman_2008_c,fig. 6,p.529,none,none,none,none,proportion1,survival,eyespot,2,9.00,,eyespot,,no pattern,the central black component displaced outward (externally) from thetarget midline,artificial,prey that does not imitate a specific species,160,160,0.285714,0.120301,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Hardman_2008,Stevens&Hardman_2008_14,Stevens&Hardman_2008_c,fig. 6,p.529,none,none,none,none,proportion1,survival,eyespot,2,9.00,,eyespot,,no pattern,the central black componentdisplaced inward to the target midline,artificial,prey that does not imitate a specific species,160,160,0.225564,0.120301,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_1,Stevens&CastorPerry_2009_a,fig. 3,p.99,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,circle,,no pattern,symmetrical in area,artificial,prey that does not imitate a specific species,100,100,0.146981,0.126013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_2,Stevens&CastorPerry_2009_a,fig. 3,p.99,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,circle,,no pattern,with 5% size asymmetries,artificial,prey that does not imitate a specific species,200,100,0.222115,0.126013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_3,Stevens&CastorPerry_2009_a,fig. 3,p.99,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,circle,,no pattern,with 10% (A10) size asymmetries,artificial,prey that does not imitate a specific species,200,100,0.221241,0.126013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_4,Stevens&CastorPerry_2009_a,fig. 3,p.99,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,circle,,no pattern,"with 25% (A25),and 50% (A50) size asymmetries",artificial,prey that does not imitate a specific species,200,100,0.354909,0.126013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_5,Stevens&CastorPerry_2009_a,fig. 3,p.99,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,circle,,no pattern,with 50% (A50) size asymmetries,artificial,prey that does not imitate a specific species,200,100,0.186295,0.126013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_6,Stevens&CastorPerry_2009_b,fig. 4,p.100,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,square,,no pattern,symmetrical in position,artificial,prey that does not imitate a specific species,48,48,0.112026,0.056013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_7,Stevens&CastorPerry_2009_b,fig. 4,p.100,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,circle,,no pattern,symmetrical in position,artificial,prey that does not imitate a specific species,48,48,0.09061,0.056013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_8,Stevens&CastorPerry_2009_b,fig. 4,p.100,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,multiple,,no pattern,square and circle; symmetrical in position,artificial,prey that does not imitate a specific species,96,48,0.130148,0.056013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_9,Stevens&CastorPerry_2009_b,fig. 4,p.100,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,square,,no pattern,asymmetrical in position,artificial,prey that does not imitate a specific species,96,48,0.15486,0.056013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_10,Stevens&CastorPerry_2009_b,fig. 4,p.100,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,circle,,no pattern,asymmetrical in position,artificial,prey that does not imitate a specific species,192,48,0.228995,0.056013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&CastorPerry_2009,Stevens&CastorPerry_2009_11,Stevens&CastorPerry_2009_b,fig. 4,p.100,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,multiple,multiple,no pattern,square and circle; asymmetrical in position,artificial,prey that does not imitate a specific species,96,48,0.187809,0.056013,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_1,Stevens&Cantor_2009_a,fig. 3,p.322,none,none,none,none,proportion1,survival,eyespot,2,7.02,,circle,,no pattern,arranged horizontally about midline,artificial,prey that does not imitate a specific species,56,56,0.317412,0.16215,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_2,Stevens&Cantor_2009_a,fig. 3,p.322,none,none,none,none,proportion1,survival,eyespot,2,7.02,,circle,,no pattern,arranged vertically along the midline,artificial,prey that does not imitate a specific species,56,56,0.253896,0.16215,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_3,Stevens&Cantor_2009_a,fig. 3,p.322,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,bar,,no pattern,arranged horizontally about the midline and oriented horizontally,artificial,prey that does not imitate a specific species,56,56,0.300474,0.16215,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_4,Stevens&Cantor_2009_a,fig. 3,p.322,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,bar,,no pattern,arranged vertically along the midline and orientated horizontally,artificial,prey that does not imitate a specific species,56,56,0.328704,0.16215,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_5,Stevens&Cantor_2009_a,fig. 3,p.322,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,bar,,no pattern,arranged horizontally about the midline and oriented vertically,artificial,prey that does not imitate a specific species,56,56,0.214374,0.16215,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_6,Stevens&Cantor_2009_a,fig. 3,p.322,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,bar,,no pattern,arranged vertically along the midline and orientated vertically,artificial,prey that does not imitate a specific species,56,56,0.342818,0.16215,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_7,Stevens&Cantor_2009_b,fig. 4,personal comminication,none,none,none,none,proportion1,survival,eyespot,2,7.4,,eyespot,,no pattern,blue,artificial,prey that does not imitate a specific species,56,56,0.229457,0.110034,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_8,Stevens&Cantor_2009_b,fig. 4,personal comminication,none,none,none,none,proportion1,survival,eyespot,2,7.4,,eyespot,,no pattern,red,artificial,prey that does not imitate a specific species,56,56,0.219393,0.110034,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_9,Stevens&Cantor_2009_b,fig. 4,personal comminication,none,none,none,none,proportion1,survival,eyespot,2,7.4,,eyespot,,no pattern,yellow,artificial,prey that does not imitate a specific species,56,56,0.225431,0.110034,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_10,Stevens&Cantor_2009_b,fig. 4,personal comminication,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,bar,,no pattern,blue bar,artificial,prey that does not imitate a specific species,56,56,0.213355,0.110034,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_11,Stevens&Cantor_2009_b,fig. 4,personal comminication,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,bar,,no pattern,red bar,artificial,prey that does not imitate a specific species,56,56,0.142238,0.110034,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Stevens&Cantor_2009,Stevens&Cantor_2009_12,Stevens&Cantor_2009_b,fig. 4,personal comminication,none,none,none,none,proportion1,survival,conspicuous,NA,NA,,bar,,no pattern,yellow bar,artificial,prey that does not imitate a specific species,56,56,0.237508,0.110034,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Blut_2012,Blut_2012_1,Blut_2012_a,fig. 5,p.240,none,none,Saturnia_pavonia,emperor moth,proportion1,survival,eyespot,2,7,,eyespot,,no pattern,artificial eyespot with sparkle + photograh of specific prey species,real,photograph of butterfly,50,50,0.099391,0.079108,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Blut_2012,Blut_2012_2,Blut_2012_a,fig. 5,p.240,none,none,Saturnia_pavonia,emperor moth,proportion1,survival,eyespot,2,12,,eyespot,,no pattern,artificial eyespot with sparkle + photograh of specific prey species,real,photograph of butterfly,50,50,0.659919,0,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,
Hossie_2012,Hossie_2012_1,Hossie_2012_a,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,solid-eyespots vs. solid-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.17187,0.195761,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 1, location 1"
Hossie_2012,Hossie_2012_2,Hossie_2012_a,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,countershaded-eyespots vs. countershaded-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.147978,0.161251,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 1, location 1"
Hossie_2012,Hossie_2012_3,Hossie_2012_b,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,solid-eyespots vs. solid-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.625807,0.657662,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 1, location 2"
Hossie_2012,Hossie_2012_4,Hossie_2012_b,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,countershaded-eyespots vs. countershaded-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.63908,0.647044,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 1, location 2"
Hossie_2012,Hossie_2012_5,Hossie_2012_c,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,solid-eyespots vs. solid-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.567406,0.643062,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 1, location 3"
Hossie_2012,Hossie_2012_6,Hossie_2012_c,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,countershaded-eyespots vs. countershaded-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.838175,0.734646,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 1, location 3"
Hossie_2012,Hossie_2012_7,Hossie_2012_d,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,solid-eyespots vs. solid-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.170439,0.130493,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 2, location 1"
Hossie_2012,Hossie_2012_8,Hossie_2012_d,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,countershaded-eyespots vs. countershaded-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.143808,0.154461,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 2, location 1"
Hossie_2012,Hossie_2012_9,Hossie_2012_e,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,solid-eyespots vs. solid-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.037284,0.010652,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 2, location 2"
Hossie_2012,Hossie_2012_10,Hossie_2012_e,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,countershaded-eyespots vs. countershaded-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.015979,0.010652,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 2, location 2"
Hossie_2012,Hossie_2012_11,Hossie_2012_f,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,solid-eyespots vs. solid-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.314248,0.36751,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 2, location 3"
Hossie_2012,Hossie_2012_12,Hossie_2012_f,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,countershaded-eyespots vs. countershaded-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.364847,0.335553,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 2, location 3"
Hossie_2012,Hossie_2012_13,Hossie_2012_g,fig. S2,supplementary Material,none,none,none,none,proportion1,survival,eyespot,2,6,,eyespot,,no pattern,solid-eyespots vs. solid-no eyespots,artificial,models were based loosely on the late instars of Papilio canadensis and Papilio glaucus caterpillars,96,96,0.150594,0.354029,NA,NA,NA,NA,independent,NA,NA,NA,NA,,,NA,,NA,,"site 3, location 1"
